nombre,latitud,longitud,tipo
Sisapo,40.4319586,-3.7004854,rest
Cruix,41.3781724,2.1524746,rest
Casa Barqueiro,42.9095997,-8.7352114,rest
Marcos,43.5401186,-5.6601735,rest
Las Musas,39.4090257,-3.1235193,rest
Cocina Hermanos Torres,41.3865273,2.1400168,rest
Terra,42.9048181,-9.2623603,rest
Erre de Roca,42.6876564,-2.9469716,rest
Andra Mari,43.2343555,-2.8325069,rest
Tres por Cuatro,40.4272746,-3.6724357,rest
Arrels,39.6786129,-0.2781263,rest
Donamaria'ko Benta,43.1059274,-1.6862454,rest
La Cosmo,36.7205548,-4.4180017,rest
Coscolo,42.4643866,-6.128479,rest
Ferpel Gastronómico,43.5592015,-6.7450058,rest
Eneko,43.26056,-2.8142767,rest
Bacaro,41.3811767,2.1715597,rest
Acebuche,38.4236945,-6.4176702,rest
Teatro kitchen & bar,41.3751383,2.1567921,rest
Andreu Genestra,39.4379554,2.8001231,rest
Agua Salada,43.464222,-3.8025956,rest
Atalaya,40.2490542,0.2851265,rest
Caelis,41.3869216,2.1743294,rest
Mesón Sabor Andaluz,36.9009424,-5.1687994,rest
Can Jubany,41.929287,2.301967,rest
Rincón de Diego,41.0667735,1.0631489,rest
Brel,38.4246546,-0.3903405,rest
Cocinandos,42.6019852,-5.5810161,rest
A Viaxe,42.881473,-8.5399848,rest
Rodero,42.8160025,-1.6367286,rest
Alameda,43.3612194,-1.7925817,rest
El Rinconcico,40.2504545,-0.7544101,rest
Europa,42.8161985,-1.6418103,rest
Saó,41.4169245,2.1397846,rest
Arteaga Landetxea,43.07175,-2.51625,rest
Peix & Brases,38.8460357,0.1079727,rest
La Farola,39.8507268,-0.5112958,rest
Rubén Miralles,40.4702712,0.4746362,rest
La Montería,40.4203134,-3.6775299,rest
Bagá,37.7668005,-3.7861942,rest
Divinum,41.9822044,2.8240743,rest
Cabaña Buenavista,37.92464,-1.163767,rest
Solla,42.4334655,-8.6686035,rest
Coto de Quevedo Evolución,38.5798152,-3.0492196,rest
Radis,37.7680566,-3.7863389,rest
Les Cols,42.1946503,2.5009,rest
Nerua Guggenheim Bilbao,43.2688108,-2.93308,rest
Juan Veintitrés,39.2873039,-0.420869,rest
Mugaritz,43.2722067,-1.9171152,rest
Lera,41.967639,-5.3137839,rest
Donaire,28.0916898,-16.7387881,rest
Nova,42.33977,-7.8623301,rest
El Bohío,40.1267656,-3.8462246,rest
El Xato,38.6172486,-0.123197,rest
Nardi,40.2730083,-5.8598402,rest
Vandelvira,37.9941772,-3.4689799,rest
Ajonegro,42.4658541,-2.4461804,rest
Iván Cerdeño,39.8619154,-4.0462052,rest
Pacífico,42.3334068,-7.8611341,rest
Casona del Judío,43.4686232,-3.8292585,rest
Vinatea,40.6182728,-0.1008078,rest
Daluan,40.6188759,-0.0993829,rest
BACK,36.509052,-4.894597,rest
Mesón del Pastor,40.61797,-0.1007192,rest
Culler de Pau,42.4752854,-8.8957637,rest
La Botica de Matapozuelos,41.4143484,-4.7914841,rest
Tatau,42.1385333,-0.4085046,rest
Lillas Pastia,42.136332,-0.4101935,rest
M.B,28.171041,-16.799017,rest
Txispa,43.1145985,-2.6024292,rest
Almanaque Casa de Comidas,36.535654,-6.2939386,rest
Arrocería Maribel,39.3106151,-0.3179962,rest
Somiatruites,41.57798,1.614032,rest
Kabo,42.8118407,-1.6433174,rest
Al Margen,43.2544495,-2.9235659,rest
Villa Xarahiz,40.0666884,-5.753258,rest
Bar Verat,41.455486,2.2065718,rest
Maskarada,43.01121,-1.90254,rest
Mont Bar,41.3862568,2.1618511,rest
Lluerna,41.4554734,2.2065622,rest
CEBO,40.4162213,-3.6984633,rest
El Aguarde,28.4702312,-16.2577629,rest
Retama,38.670718,-3.3219559,rest
Sala,41.9859741,2.0959879,rest
El de Alberto,43.3699357,-8.4047628,rest
La Lobita,41.8367514,-3.0064064,rest
LÚ Cocina y Alma,36.6876345,-6.1357554,rest
La Fonda Xesc,42.24774,2.0907118,rest
Casa Pepa,38.818996,0.007204,rest
Santé,40.3356553,-3.7627179,rest
Víctor Gutiérrez,40.9630387,-5.6703452,rest
Blossom,36.720118,-4.417583,rest
El Origen,42.1378049,-0.4048128,rest
